ID	RT	RESP	ACC	PracCounter	AddAccuracy	ProcedureRunning
0	1196	4	0	1	0	pracblock
0	91	3	0	1	0	pracblock
0	520	3	0	1	0	pracblock
0	189	1	0	1	0	pracblock
0	483	2	1	1	1	pracblock
0	328	4	1	1	2	pracblock
0	325	1	1	1	3	pracblock
0	244	3	1	1	4	pracblock
0	342	1	1	1	5	pracblock
0	344	4	1	1	6	pracblock
0	904	3	1	2	1	pracblock
0	292	1	1	2	2	pracblock
0	474	2	1	2	3	pracblock
0	277	4	1	2	4	pracblock
0	414	2	1	2	5	pracblock
0	320	4	1	2	6	pracblock
0	355	1	1	2	7	pracblock
0	329	3	1	2	8	pracblock
0	319	2	0	2	8	pracblock
0	302	4	1	2	9	pracblock
